english,hindi
"No, no, no, no, no!
","नहीं, नहीं, नहीं, नहीं, नहीं!
"
"Guys, check it out.
","दोस्तों, इसे देखो.
"
"Plus his mattress is gone.
","इसके अलावा अपने गद्दे गया है.
"
"- Doesn't matter now.
","-अब कोई फ़र्क नहीं पड़ता।
"
"And then he went.
","और फिर वह चला गया.
"
"My dreadnoughts are out!
","मेरा dreadnoughts बाहर हैं!
"
"That's him, your sireness!
","सलजार!
"
"""You can check on Wikipedia.""
","""आप विकिपीडिया पर जांच कर सकते हैं।""
"
"♪ I was walking ♪
","♪मैंएक '
"
"Only saw their bad side.
","मैंने उनका शैतानी रूप ही देखा है।
"
"You do not stay here.
","आप यहाँ रहने की जरूरत नहीं है.
"
"He said that our Priya.
","इसने कहा कि हमारी प्रिया
"
"It's all in the book.
","लेफ्टिनेंट पुस्तक में है.
"
"Oh, and a snakebite, please.
","पर हमें हमेशा वह नहीं मिलता, जो चाहते हैं, है न?
"
"It was a pleasure, sir.
","यह एक खुशी, श्रीमान था.
"
"Surely the dead can wait.
","निश्चित रूप से मर चुका इंतजार कर सकते हैं।
"
"Our mission is getting delayed.
","हमारे मिशन में देरी हो रही है।
"
"We'd never be men again.
","हम फिर से पुरुषों कभी नहीं होगा .
"
"Marriages are grand in Goa!
","गोवा में शादी बहुत भव्य होती है!
"
"I think I've got something.
","मैं मैं कुछ मिल गया है.
"
"Possibly even to life.
","संभवतः जीवन को भी .
"
"The Lady of Winterfell.
","Winterfell के लेडी।
"
"Can't he give up?
","यहाँ और भी तो बार हैं ...
"
"I admire your brazenness.
","तुम्हारी बेशर्मी को सराहता हूँ।
"
"The population of the earth:
","पृथ्वी की जनसंख्या:
"
"This evening's session is adjourned.
","इस शाम की बैठक स्थगित होती है।
"
"Is he missing a tooth?
","क्या वह एक दांत गायब है?
"
"- Did it work?
","- काम किया?
"
"- We understood that much.
","~ कि हम समझ में आया.
"
"Of course it was futile.
","बिल्कुल, इसका कोई लाभ नहीं हुआ.
"
"- It's too dangerous.
","- - यह बहुत खतरनाक है।
"
"Pour this water over it...slowly.
","हे उग्र हमें अज्ञात भगवान...
"
"- Don't say that.
","- ऐसा मत बोलीये .
"
"Head Chief, she is here
","प्रमुख चीफ, वह यहाँ है
"
"That guy makes me nervous.
","उस आदमी ने मुझे परेशान करता है.
"
"So, let's go home.
","तो, चलो घर चलते हैं।
"
"Sayin' hey, sweet baby
","कह'अरे,प्याराबच्चा
"
"""Records show, without exception,""
","एक अपवाद के बिना होमो श्मिट,
"
"I ain't telling Lady Stark.
","मैं लेडी स्टार्क नहीं बता रही है।
"
"It's 7:00 a m.
","00 बजे हैं।
"
"He's gone into the void!
","- क्या? वह शून्य में चला गया है.
"
"- We're on fire.
","- आग लगा दी है.
"
"But the hull is compromised!
","लेकिन पतवार समझौता किया है!
"
"Seven hundred million people.
","-सत्तर करोड़ लोगों ने।
"
"Oh, my poor dear!
","मेरी प्यारी बच्ची!
"
"Sorry, what's your idea?
","क्षमा करें, आपका क्या विचार है?
"
"He belongs to the alpha.
","अब वह ऐल्फ़ा के अधीन है।
"
"You heard the man!
","तुमने सुना !
"
"And do you know why?
","और तुम जानते हो क्यों?
"
"They're all over the tower.
","वानर। वे मीनार में हैं।
"
"Little children went to Heaven!
","छोटे बच्चों को स्वर्ग में चला गया!
"
"I know it's painful.
","पता है यह असह्य है।
"
"As I told you before.
","अब मेरे लिए समर्पण...
"
"He doesn't work for me.
","यह मेरे लिए काम नहीं करता।
"
"Why am I so unlucky?
","मैं इतनी बदकिश्मत क्यों हूं?
"
"Give me the phone.
","मुझे फ़ोन दो।
"
"He's in a meeting.
","वह एक बैठक में है.
"
"No, it's actually very encouraging.
","नहीं, यह वास्तव में बहुत ही उत्साहवर्धक है.
"
"Let's just calm down.
","चलो बस शांत है.
"
"I'm sorry your dad's passing.
","अपने पिता के निधन अफसोस.
"
"Extraction could be difficult.
","निकालना मुश्किल हो सकता है.
"
"Sean, Sean, you all right?
","हम skewered नहीं.
"
"It's titanium, you idiot!
","यह टाइटेनियम है, तुम बेवकूफ हो!
"
"It's what you guys order.
","यह क्या तुम लोगों के लिए है.
"
"Hey, you reached Doug.
","अरे,तुमडौगपहुंचे.
"
"I'll follow you Why?
","मैं पीछे-पीछे आता हूं. - क्यों?
"
"Kal-El, I'm sub commander Faora-Ul.
","कल एल, मैं उप कमांडर Faora उल हूँ.
"
"..before brain death occurs here!
",".. मस्तिष्क मृत्यु यहाँ से पहले होता है!
"
"You know that, right?
","तुम्हे ये पता है न?
"
"Well, Mr Bobo had leverage.
","खैर, श्री बोबो का लाभ उठाने की थी.
"
"Pleasure doing business with you.
","तुम्हारे साथ कारोबार करके खुशी हुई।
"
"The stench of death?
","मौत की बदबू?
"
"Try not to move.
","स्थानांतरित करने के लिए नहीं की कोशिश करें.
"
"Brian, you're temporary showroom manager.
","ब्रायन, तुम अस्थायी शोरूम मैनेजर हो।
"
"He's delivered a war here.
","वह एक युद्ध यहाँ दिया है।
"
"- Back it up.
","- - यह बैकअप लें।
"
"- Listen, no shooting.
","- सुनो, नहीं शूटिंग.
"
"We've a graduation battle tomorrow.
","हम कल एक स्नातक स्तर की लड़ाई है.
"
"Where could they have gone?
","हमें पाना है! वे कहाँ जा सकती है?
"
"In the morning, hmm?
","सुबह में, हम्म?
"
"What are you thinking?
","आप क्या सोच रहे हो?
"
"Go and find the calf.
","जाओ और बछड़ा खोजो.
"
"No, no, no, no!
","नहीं, नहीं, नहीं, नहीं!
"
"- Son of Zeus.
","- ज़ीउस के बेटे.
"
"I do not believe it.
","मैं यह विश्वास नहीं है.
"
"Who are they, daddy?
","वे कौन, पिताजी कर रहे हैं?
"
"And that's my mum.
","और मेरे साथ मेरी माँ हैं.
"
"Just... talk to me.
","अभी मुझसे बात करें।
"
"What are you doing here?
","तुम यहाँ क्या कर रहे हो?
"
"These scavs are getting bolder.
","ये scavs बिंदास हो रही है.
"
"No, I don't think so.
","नहीं मैंने नहीं सुना
"
"Just let me control it.
","बस मुझे इसे नियंत्रित करते हैं.
"
"Yeah, she's my daughter.
","हाँ, वह मेरी बेटी है.
"
"No, that won't be necessary.
",", कि आवश्यक विल नहीं होगा.
"
"Which one are you?
","तुम कौनसे हो?
"
"I've got a problem here.
","मैं यहाँ एक समस्या मिल गया है.
"
"Five minutes to live fire.
","पांच मिनट आग जीने के लिए.
"
"Hey, listen, I was right.
","सुनो, अरे, मैं सही था.
"
"In fact, she's cowardly.
","मेरे खयाल से वो डरपोक है
"
"- What's conceived mean?
","- अस्तित्व में आने का क्या मतलब?
"
"- Did you touch anything?
","- तुम्हें छू कुछ क्या?
"
"You have an amazing rack.
","तुमएकअद्भुतरैक है.
"
"( SCOOTER APPROACHING )
","(करीब पहुंच स्कूटर)
"
"Signal decoy in place.
","सिग्नल जगह में लूभाव।
"
"But things have changed.
","चीजें बदल गई हैं.
"
"This is not my place.
","यह मेरी जगह नहीं है.
"
"You wanna move troops in?
","आप सैनिक भेजना चाहते हैं ?
"
"Get some sleep, Scott.
",", स्कॉट कुछ नींद।
"
"What about time slippage?
","और समय अंतराल का क्या होगा ?
"
"Stay away from my son!
","मेरे बेटे से दूर रहो!
"
"No mercy in the villages.
","गांवों में कोई दया नहीं।
"
"I am sorry, Storm Shadow.
","मैं माफी तूफान छाया हूँ.
"
"And one other guy.
","और एक अन्य लड़का.
"
"And your place is here.
","और तुम्हारा स्थान यहाँ है.
"
"But I saw him.
","पर मैंने उसे देखा।
"
"Me, I'm not so sure.
","मुझे, मैं इतना यकीन नहीं कर रहा हूँ
"
"We need help in here!
","हम यहाँ में मदद की जरूरत है!
"
"Get out of there.
","बाहर आओ।
"
"Yeah, I hear that.
","हाँ, मैंने सुना है कि.
"
"Seven and a half.
","साढ़े सात साल।
"
"© P@rM! NdeR M@nkÖÖ ™
","©@ पीआर एम nderएम@nkÖÖ 
"
"Did they shoot you?
","तुम मुझे क्यों रोका?
"
"Go check it out.
","जाओ जाँच करो.
"
"And kutepati my promise.
","और kutepati अपना वादा.
"
"I have three large dragons.
","मैं तीन बड़े ड्रेगन की है।
"
"- - Get off. -
","- दूर हो जाओ.
"
"Don't go wasting good moonshine.
","अच्छा चांदनी बर्बाद मत जाओ.
"
"Consider this my resignation.
","-इसे मेरा इस्तीफ़ा मान लीजिए !
"
"We'll know in a minute.
","हमें एक मिनट में पता चल जाएगा.
"
"Just wedge the door up.
","बस दरवाजे तक कील.
"
"- Ford Granada, XL.
","- फ़ोर्ड ग्रनाडा, एक्सएल।
"
"- Forty-five to an hour.
","- पैंतालिस मिनीट से एक घंटा .
"
"Poor people don't buy papers?
","गरीब लोगों के कागजात खरीद नहीं है?
"
"We gotta go fast.
","हम तेजी से जाना होगा.
"
"And the gift shop.
","और उपहारों वाली दुकान से।
"
"You clipped one of them.
","आप उनमें से एक को काटा गया.
"
"I'm not being grouchy.
","मैं मुंह... ...नहीं बना रहा हूं.
"
"Mom, Dad, hold on!
","मम्मी, पापा, रुकिए!
"
"Not the fucking desk, Ronnie.
","नहीं डेस्क नहीं रॉनी।
"
"It will be released today.
","यह आज जारी किया जाएगा.
"
"I'm in hot pants...
","I'm in hot pants...
"
"Hands in the air. ""
","हाथ उपर.""
"
"Yes, let's take a rest.
","हाँ, चलो आराम कर लो.
"
"I've got plenty of jackets.
","मेरे पास बहुत से जैकेट है.
"
"The party is today.
","पार्टी आज है.
"
"No, that might be easier.
","नहीं, यह आसान हो सकता है.
"
"Who's Mommy's little cutie?
","मम्मी का प्यारा बच्चा कौन है?
"
"Sir, we asked Sharmila's friends.
","महोदय, हम शर्मिला के दोस्तों से पूछा।
"
"What if he got out?
","क्या होगा अगर वह है?
"
"- Don't be stupid.
","- मूर्ख मत बनो.
"
"What do you want?
","तुम क्या चाहते हो?
"
"Here, bring it up here.
","यहाँ ऊपर लेकर आओ।
"
"He will look like you.
","उन्होंने कहा कि आप की तरह दिखेगा.
"
"I do planning and precision.
","मैं योजना और सटीक नहीं है।
"
"That guy's a magician?
","उस आदमी को एक जादूगर है?
"
"You're not going to die.
","तुम मरने नहीं जा रहे हो.
"
"You got 'em, Bob?
","आप उन्हें, बॉब मिला?
"
"Residents added new gt;gt;gt;
","निवासियों जोड़ा नया
"
"No guard, Your Majesty?
","कोई गार्ड, महाराज?
"
"PUT IT IN THERE.
","वहाँ में डाल दिया.
"
"That's why there's Plan B.
","इसी वजह से प्लान बी .
"
"What's the matter with you?
","तुम्हारे साथ क्या बात है?
"
"He chose that car.
","उन्होंने कहा कि कार चुना है.
"
"Another day in paradise.
","स्वर्ग में एक और दिन
"
"Get that elevator open now!
","कि लिफ्ट अब खुला हो जाओ!
"
"( clicks, clatters )
","(क्लिककरताहै ,clatters)
"
"Standing by to fire, sir.
","द्वारा स्थायी करने के लिए आग, साहब!
"
"What do you mean, evacuate?
","हटने का क्या मतलब ?
"
"Once we start this dose..
","एक बार जब हम इस खुराक शुरू ..
"
"The show goes on.
","शो पर चला जाता है. "": एक जादुई दोस्ती बर्ट और एंटोन.""
"
"Start anywhere you like.
","विनाश का दिवस जहाँ से चाहो शुरू कर सकते हो।
"
"I can not help him.
","मैं उसकी मदद नहीं कर सकते हैं.
"
"It runs in the family.
","यह तो हमारी रगों में दौड़ता है।
"
"Thank you for seeing us.
","मुलाकात के लिए धन्यवाद.
"
"What are you talking about?
","क्या आप के बारे में बात कर रहे हैं?
"
"- They really needed that.
","- उन्हें सच में इसकी ज़रूरत थी।
"
"- On your BMW.
","तुम्हारी बीएमडब्ल्यू पर?
"
"Please, just do it.
","प्लीज़, बस करो।
"
"All right, yeah, I'm down.
","ठीक है, हाँ, मैं नीचे हूँ।
"
"That's a messed-up looking dog.
","यही कारण है कि एक गड़बड़ अप देख कुत्ता है।
"
"Sir, are you safe?
","सर, आप सुरक्षित हैं?
"
"What do zombies do?
","प्रेत क्या करते हैं?
"
"Radiation gave birth to mutants.
","विकिरणउत्परिवर्तनोंको जन्मदिया.
"
"And neither can you!
","और ना ही आप कर सकते हैं!
"
"- Perfect score, Mr. Hanson.
","- बिल्कुल सही स्कोर, श्री Hanson.
"
"At least for blessing me.
","मेरे आशीर्वाद के लिए कम से कम।
"
"You can't hear it...
","आप इसे नहीं सुन सकते हैं...
"
"Very proud of you.
","आप पर बहुत गर्व है.
"
"We wake you up.
","हम तुम उठो.
"
"That is our 40-year credo.
","चालीस साल से यह हमारा सिद्धांत है।
"
"- When they are dead?
","- जब वे मर चुके होते हैं?
"
"What happened to Miller?
","Miller का क्या हुआ ?
"
"What great confidence you have!
","क्या आत्मविश्वास है तुम्हारा!
"
"- There's your new friend.
","- अपने नए दोस्त नहीं है.
"
"I really like him!
","मुझे वह वाकई पसंद है!
"
"I've failed him, in life.
","मैं उसे विफल रहा है, जीवन में।
"
"What's going on here...
","यहाँ क्या हो रहा है ...
"
"Hey! Look who I found.
","ऐ!
"
"- Anything you want.
","- जो भी तुम चाहो।
"
"We'll go to India together.
","हम भारत को एक साथ जाना होगा।
"
"That leaves us with this.
","ये करना है।
"
"Come meet your new brother.
","आओ अपने नए भाई से मिलो।
"
"Help me out, come on.
","- मेरी मदद करो, आओ! - वो है ..
"
"- What problems are those?
","- कैसी समस्याएं?
"
"I just got two signatures
","अभूतपूर्व फैलाव, 40Meter कीलें
"
"Will you come home, Val?
","क्या तुम घर चलोगी, वैल?
"
"- You knew my husband?
","आप मेरे पति को जानते थे?
"
"SURPRISED TO SEE ME, PETER?
","एमई, पीटर देख कर हैरान?
"
"- How much are they?
","-कितने की हैं?
"
"My father long wants it.
","मेरे पिता लंबे समय से यह चाहता है.
"
"Where are your clothes?
","अपने कपड़े पहनें.
"
"Do the hinges hinge?
","जोड़ ठीक से जुड़ते हैं?
"
"He looked like a monster.
","उन्होंने कहा कि एक राक्षस की तरह देखा।
"
"Movement in the breach.
","उल्लंघन आंदोलन.
"
"Let's play some blackjack.
","चलो कुछ लाठी खेलते हैं.
"
"We could do bloody.
","हम खूनी कर सकता है.
"
"It was all me, James.
","सबकी मौत के पीछे का कारण मैं ही था, जेम्स।
"
"All downhill from here.
","यहाँ से सब डाउनहिल।
"
"Make your own way.
","अपना रास्ता ख़ुद बनाएं।
"
"! That was the police!
","यही कारण है कि पुलिस था!
"
"Stack's a good soldier.
","ढेर एक अच्छा सिपाही है.
"
"Do you have a room?
","क्या आपके पास एक कमरा है?
"
"Let's just take it easy.
","चलो बस इसे ले आसान है.
"
"(GIRLS LAUGHING AND TEASING)
","(लड़कियांहँसऔर चिढ़ा)
"
"Your team, not mine.
","तुम्हारा दल, मेरा नहीं।
"
"I just thought since we...
","मैं सिर्फ हम के बाद सोचा था कि...
"
"You do not belong here.
","तुम यहाँ के नहीं हैं.
"
"- lt's me, Shiva!
","- ये मैं हूँ, शिवा!
"
"Can we change this up?
","हम इस को बदल सकते हैं?
"
"I'm initiating reactor override now.
","मैं रिएक्टर अब ओवरराइड की शुरुआत कर रहा हूँ.
"
"How does that sound?
","-कहो कैसा लगा?
"
"We need to override the..
","हम ओवरराइड करने के लिए की जरूरत है ..
"
"My Führer, this is outrageous!
","मेरे फ्यूरर, यह अति है!
"
"She will receive a prize.
","वह एक पुरस्कार प्राप्त करेंगे.
"
"The thought reaching the eyes...
","The thought reaching the eyes...
"
"This is a rare treat.
","यह एक दुर्लभ इलाज है.
"
"A nice pattern developed.
","एक बढ़िया तरीका उभर आया।
"
"- Me? I won't go.
","मैं नहीं जाऊँगा.
"
"I'm trying to save them.
","मैं उन्हें बचाने के लिए कोशिश कर रहा हूँ।
"
"I do have some time.
","मैं कुछ समय है.
"
"Okja, I'm here! Okja!
","ओक्जा, मैं आ गई!
"
"Two pilots, mindMelding through memories
","एक विशाल मशीन के शरीर के साथ
"
"Brother-in-law isn't suspecting us, right?
","जीजाजी हम पर शक तो नहीं कर रहे हैं ना?
"
"I bet he stole that.
","इस लाइन को तुमने चुराया होगा
"
"- What do you say?
","- तुम्हें क्या लगता है?
"
"Not getting any easier, huh?
","नहीं किसी भी आसान हो रही है, है न?
"
"He's kind of a hoarder.
","करोड़ों बक्‍से. वह एक खज़ाने की तरह है.
"
"He had to... do that.
","वह था ... कि.
"
"No, on your presentation.
","नहीं! मैं अपनी प्रस्तुति पर मतलब है.
"
"- Yeah, we can.
","- हाँ, हम कर सकते हैं.
"
"And collect your look-alike's...
","और इकट्ठा अपने हमशक्ल है...
"
"Uh, this one's not working.
","उह, वो काम नहीं कर रहा है.
"
"It's a shit show.
","-ये सारा शो बकवास है।
"
"I'll get you next time.
","मैं आपको अगली बार मिल जाएगा.
"
"Good people living in fear.
","खौफ में जी अच्छे लोग।
"
"Like mother, like daughter:
","जैसी मां वैसी बेटी.
"
"That's what they called her.
","यही कारण है कि वे उसे क्या कहा जाता है.
"
"You know blue ray?
","आप ब्लू रे को जानते हो?
"
"Assemble the Monkey Warriors.
","इकट्ठा बंदर योद्धाओं.
"
"You've never been tickled?
","तुम्हें कभी गुदगुदी नहीं लगाई गई?
"
"Plan B, rendezvous Bravo.
","प्लानबी,मिलनस्थलब्रावो
"
"The man I saw?
","मैंने देखा आदमी?
"
"I am in trouble again.
","मैं मुसीबत में फिर से हूँ।
"
"THAT'S WHAT WE WANT.
","हम क्या चाहते है.
"
"Come on, damn it.
","आ जाओ, छोड़ो भी.
"
"Go ahead, pull the trigger.
","आगे बढ़ो, ट्रिगर खींच।
"
"- How is he doing?
","- उसका क्या हाल है?
"
"See, he was here!
","देखो, वह यहीं था!
"
"What is all this?
","यह सब क्या है?
"
"You didn't see anything
","तुम कुछ भी नहीं देखा था
"
"Who's eating my dumplings?
","मेरे डंपलिंग कौन खा रहा है?
"
"Take yourself whatever you want...
","Take yourself whatever you want...
"
"- That's what I said.
","- ये है कि मैं ने क्या कहा.
"
"At 6:00 and 11:00.
","6: 00 और 11: 00 पर.
"
"I can't wait forever.
","मैं हमेशा के लिए इंतजार नहीं कर सकती.
"
"That's on the rise.
","कि बढ़ रही है.
"
"Hey, I got a delivery.
","अरे, मैं एक प्रसव हो गया।
"
"Whose business is the preservation
","किसका व्यापार संरक्षण है
"
"Oh, you're Jenna's favour.
","तुम जेना का काम हो।
"
"- It's just a paddle.
","- एक चप्पू है.
"
"I don't see very well.
","मैं बहुत अच्छी तरह से नहीं दिख रहा।
"
"(SINGING) Trouble, leave me alone
","(गायन) मुसीबत, मुझे अकेला छोड़ दो
"
"It's none of my business.
","यह मेरा काम नहीं है.
"
"What are you in for?
","तुम क्यों अंदर हुए?
"
"I will never salute you!
","मैं तुम्हें सलाम कभी नहीं होगा!
"
"I DIDN'T KILL NO ONE.
","मैं कोई भी नहीं मारा.
"
"This is Okja's fate!
","यही ओक्जा की किस्मत है!
"
"- I'm just saying.
","- मैं सिर्फ इतना कह रहा हूँ.
"
"Dauha naer do smrti.
","दोहा NAER मौत।
"
"It's just a joke.
","यह सिर्फ एक मजाक है.
"
"For crying out loud here.
","उधार नहीं चलता यहां.
"
"I actually love my refrigerator.
","वास्‍तव में मुझे अपने रेफ़्रीज़रेटर से प्‍यार है.
"
"[ COUNTRY MUSIC PLAYING ]
","[देशसंगीतखेल]
"
"All right, it's a doozy.
","ऑलराइट, ये सब बड़ा अजीब है .
"
"Just let it all out.
","सब बाहर निकाल दो।
"
"There is no other way.
","और कोई रास्ता नहीं है।
"
"You'll have to run.
","तुम्हें भागना होगा.
"
"Sub Provided By Worldwide7477
","Worldwide7477 द्वारा प्रदान उप
"
"I don't have 60 grand.
","मैं 60 भव्य नहीं है.
"
"I don't see the point.
","मैं बात नहीं दिख रहा है.
"
"Come inside and get warm.
","अंदर आओ और गर्म हो.
"
"The old bag'll never know.
","बूढ़ी औरत को पता ही नहीं चलेगा।
"
"You're a crook, Mr Baptiste.
","आप एक बदमाश, श्री बैप्टिस्ट हैं.
"
"Welcome back to The Belmont.
","बेलमॉन्ट के लिए वापस स्वागत है.
"
"I need a pull.
","मुझे खींचो.
"
"- How many pieces?
","- कितनी हैं?
"
"Hey, there's skittles in there.
","अरे, वहाँ में skittles है.
"
"Ask me a serious question.
","मुझे एक गंभीर प्रश्न पूछें.
"
"Not now, Mr. Gottlieb.
","अभी नहीं, श्री गोटलिएब.
"
"No, they weren't from him.
","नहीं, वे उसके पास से नहीं थे.
"
"I have nothing to hide.
","मेरे पास छिपाने को कुछ भी नहीं है.
"
"- I don't care!
","- मुझे परवाह नहीं है!
"
"(SLOW COUNTRY MUSIC PLAYING)
","(धीमी गति से देश संगीत बजाना)
"
"Göring's concern isn't unjustified.
","गोरिंग की चिंताएं अनुचित नहीं हैं.
"
"Just get off of me!
","बस मुझसे दूर हो जाओ!
"
"These guys were trappers.
","वे लोग बहेलिए थे।
"
"I wanna go home?
","मैं घर जाना चाहता हूं.
"
"Thank you very much.
","बहुत-बहुत धन्यवाद.
"
"You're his brother-in-law, right?
","ये आपके जीजा है,ना?
"
"Walshy was on the warpath.
","वालशी युद्ध मार्ग में था।
"
"There's no need for witnesses!
","गवाहों की कोई ज़रूरत नहीं है!
"
"- AND Y. ;
","- एंडी:
"
"We can fix it, right?
","हम सही है, यह तय कर सकते हैं?
"
"Are you kidding me, Burt?
","आप, बर्ट मुझसे मजाक कर रहे हैं?
"
"YOU ALL RIGHT TO DRIVE?
","आप ड्राइव करना ठीक है?
"
"One was feeding the other.
","एक अन्य खिला रही थी।
"
"Aral sea, come in.
","arrel माथा करने , पर. Arrel माथा करने के लिए, ऊपर .
"
"- It's not his fault.
","- यह उसकी गलती नहीं है.
"
"And so is up time.
","सूरज झांकना...
"
"Oh, my God, Andy.
","ओह, मेरे भगवान, एंडी.
"
"with the secretary of treasury?
","राजकोष के सचिव के साथ?
"
"- Yes, it's raining!
","- हाँ,हो रही है!
"
"This is my wife.
","यह मेरी पत्नी है.
"
"But I do care.
","लेकिन मुझे परवाह है।
"
"- I think it's them.
","- मुझे लगता है ये ""वो"" हैं .
"
"Mommy, what does this mean?
","माँ, इसका क्या मतलब है?
"
"Please, don't do this.
","कृपया, ऐसा नहीं करते हैं।
"
"- I'm coming with you.
","- मैं तुम्हारे साथ आ रहा हूँ.
"
"This is the Battle Room.
","इस लड़ाई कमरा है.
"
"I hope Ellen's feeling better.
","मैं एलेन महसूस बेहतर उम्मीद है.
"
"Well, it's a key.
","यह एक चाबी है.
"
"Paul was definitely here.
","पॉल निश्चित रूप से यहाँ था.
"
"The problem of absolute virtue.
","पूर्ण पुण्य की समस्या है।
"
"Did he do like that?
","क्या उसने ऐसा किया?
"
"And plain one for you.
","आप के लिए और सादे एक।
"
"I'm just so sorry.
","मैं सिर्फ इतना माफी चाहता हूँ.
"
"I hate to see you!
","मैं तुम्हारे शक़्ल से भी नफऱत करता हूँ।
"
"My name is Xavier.
","नाम जेवियर है ..
"
"Head to the door!
","दरवाजे के लिए सिर!
"
"Where are you going?
","कहाँ जा रही हो?
"
"You were in my head.
","तुम मेरे सिर में थे ..
"
"Go and defend yourself!
","जाओ और अपने आप को बचाओ!
"
"'His dictatorial reign started collapsing'
","'उनकी तानाशाही शासनकाल गिर शुरू कर दिया'
"
"- Just a sec.
","- एक सेकेण्ड.
"
"You're a good man, Davide.
","आप एक अच्छा आदमी, डेविड रहे हैं.
"
"What can you do?
","तुम क्या कर सकते हो?
"
"In people alive today.
","लोगों में आज रहते हैं.
"
"Hurry, we need a wheelchair.
","जल्दी करो, हम एक व्हीलचेयर की जरूरत है.
"
"I'm sure of it
","मैं इस बारे में निश्चिन्त हूं
"
"Next to the red one.
","लाल वाले के बगल.
"
"- What is it?
","- यह क्या है?
"
"- Good game, sweetheart.
","- अच्छा खेल, जानेमन.
"
"That's what drove me.
","उसने ही मुझे ये सब करने पर मजबूर किया.
"
"I'll take my own bath.
","मैं अपने खुद के स्नान के लिए ले जाएगा.
"
"I'm looking for the owner.
","- मैं मालिक से मिलना चाहूँगा।
"
"No, I can handle him.
","नहीं, मैं उसे सँभाल लूँगा।
"
"The Russians have surrounded us.
","रूसियों ने हमें घेर लिया है.
"
"Do you remember Katja?
","कत्जा याद है?
"
"We're heading into Gargantua's pull.
","हम Gargantua के खिचाव की तरफ बढ़ रहे हैं.
"
"Move to West Corridor!
","पश्चिम कॉरिडोर के लिए कदम!
"
"Joseph's not so nutty.
","Joseph पागल नहीं... ..
"
"It's the sword of Alexander.
","यह अलेक्जेंडर की तलवार है।
"
"I think I mastered chi.
","शायद मैंने ऊर्जा पर महारत हासिल कर ली।
"
"What do we do? !
","शांत रहो!
"
"I can, my dear.
","मैं कर सकता हूँ, मेरे प्यारे।
"
"We're seeing what Okja's seeing.
","हम ओक्जा की नज़रों से देख रहे हैं।
"
"We're wasting our time.
","हम हमारे समय बर्बाद कर रहे हैं.
"
"I met a priest once.
","मैं एक बार एक पुजारी से मुलाकात की.
"
"- Back it up.
","- - यह बैकअप लें।
"
"© P@rM! NdeR M@nkÖÖ ™
","©@ पीआर एम nderएम@ nkÖÖ 
"
"Here we go, Mr. Hanson.
","यहाँ हम चले, श्री Hanson.
"
"No, Ted and Janice.
","नहीं, टेड और जेनिस।
"
"Eternal Love won today.
","अमर प्रेम आज जीता।
"
"That's not the rules.
","यही नियम नहीं है। न पैसा न माशूका।
"
"Attend to the crowd!
","भीड़ की तरफ ध्यान दो!
"
"You should do it.
","तुम्हें यह करना चाहिए.
"
"Okay, I'll be right in.
","ठीक है, मैं ठीक हो जाएगा अंदर
"
"I came to see you.
","मैं आपसे मिलने आया था.
"
"Okay, you take that one.
","ठीक है, तुम एक है कि ले.
"
"That's very good to hear.
","यही कारण है कि बहुत सुनने के लिए अच्छा है।
"
"- For me too!
","-मेरे लिए भी!
"
"It's really pretty outside.
","वास्तव में बाहर सुंदर है.
"
"ls there a gun?
","रासवहाँएक बंदूक?
"
"Numbers do not lie.
","संख्या झूठ नहीं है.
"
"- Do you need anything?
","- आप कुछ की जरूरत है?
"
"Just 1 centimeter this side
","बस 1 सेंटीमीटर इस तरफ
"
"They were all her puppets.
","वे सब कठपुतलियाँ थे उसे.
"
"That's not what he meant!
","कि वह क्या मतलब नहीं है!
"
"Give me eyes on.
","मुझे आंखों पर दे.
"
"- Come on, fight back.
","- चलो, वापस लड़ो।
"
"You've walked a long way.
","तुम एक लंबा रास्ता चलकर आये हो.
"
"Where's my golden goose?
","कहाँ है मेरी सोने के अंडे देने वाली मुर्गी?
"
"- We'll keep looking.
","~ हम घर रखेंगे लग रही.
"
"Visuals on first pod.
","पहले फली पर विजुअल्स.
"
"Shoulders up and chin forward.
","कंधे आगे और ठोड़ी सामने.
"
"Can I tell you something?
","क्या मैं तुम्हे कुछ बता सकता हूँ?
"
"But you continue to watch.
","लेकिन आप को देखने के लिए जारी है.
"
"Lady Eboshi spoils them.
","लेडी Eboshi उन्हें लूट.
"
"There isn't another exit.
","और कोई निकास नहीं है।
"
"I knew you'd come back.
","मैं तुम्हें वापस आना होता था.
"
"-What language? I said ""hat.""
","- कौन--सी भाषा मैंने कहा, ""टोपी।""?
"
"These are really beautiful.
","ये वाकई लाजवाब हैं।
"
"( groans, breathing heavily )
","(भारी, सांस लेने कराहना)
"
"- When's your birthday?
","- तुम्हारा जन्मदिन कब है?
"
"You are a goner!
","आप एक प्रबंधक कर रहे हैं!
"
"- Thank you, doctor.
","- शुक्रिया, डॉक्टर.
"
"He can be really persuasive.
","यह राज़ी करने में काफ़ी माहिर है।
"
"Give him a fool's homage...
","उसे एक मूर्ख की श्रद्धांजलि दो ...
"
"I tied my shoe today.
","मैंअपनेजूतेकाआज बंधे
"
"Get them while they're cold.
","गर्म होने से पहले खा लो।
"
"Savior One-Zero's been hijacked.
","उद्धारकर्ता एक-शून्य का अपहरण कर लिया गया है।
"
"I'd like nothing better.
","मैं बेहतर कुछ भी नहीं करना चाहते हैं।
"
